path	node	rank	remark
Archaea;Euryarchaeota;Methanomicrobia;Methanocellales;MidArch4	MidArch4	family	a
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales	Methanomicrobiales	order	''
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;02-02-504	02-02-504	family	a
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;C19A	C19A	family	a
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;EJ-E01	EJ-E01	family	a
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Family Incertae Sedis	Family Incertae Sedis	family	''
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Family Incertae Sedis;Methanocalculus	Methanocalculus	genus	''
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;LR-13	LR-13	family	a
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanocorpusculaceae	Methanocorpusculaceae	family	''
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanocorpusculaceae;Methanocorpusculum	Methanocorpusculum	genus	''
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae	Methanomicrobiaceae	family	''
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus	Methanoculleus	genus	''
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanofollis	Methanofollis	genus	''
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanogenium	Methanogenium	genus	''
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanolacinia	Methanolacinia	genus	''
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanomicrobium	Methanomicrobium	genus	''
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoplanus	Methanoplanus	genus	''
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;uncultured	uncultured	genus	a
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae	Methanoregulaceae	family	''
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanolinea	Methanolinea	genus	''
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanoregula	Methanoregula	genus	''
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanosphaerula	Methanosphaerula	genus	''
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanospirillaceae	Methanospirillaceae	family	''
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanospirillaceae;Methanospirillum	Methanospirillum	genus	''
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Rice Cluster II	Rice Cluster II	family	a
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;SMS-sludge7	SMS-sludge7	family	a
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;uncultured	uncultured	family	a
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;WCHA2-08	WCHA2-08	family	a
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales	Methanosarcinales	order	''
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;ANME-2a-2b	ANME-2a-2b	family	a
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;ANME-2a-2b;ANME-2b	ANME-2b	genus	a
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;ANME-2c	ANME-2c	family	a
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;GOM Arc I	GOM Arc I	family	a
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;GoM-Arch87	GoM-Arch87	family	a
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosaetaceae	Methanosaetaceae	family	''
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosaetaceae;Methanosaeta	Methanosaeta	genus	''
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae	Methanosarcinaceae	family	''
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;ANME-3	ANME-3	genus	a
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanimicrococcus	Methanimicrococcus	genus	''
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanococcoides	Methanococcoides	genus	''
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanohalobium	Methanohalobium	genus	''
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanohalophilus	Methanohalophilus	genus	''
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanolobus	Methanolobus	genus	''
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanomethylovorans	Methanomethylovorans	genus	''
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosalsum	Methanosalsum	genus	''
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina	Methanosarcina	genus	''
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;uncultured	uncultured	genus	a
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methermicoccaceae	Methermicoccaceae	family	''
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methermicoccaceae;Methermicoccus	Methermicoccus	genus	''
Archaea;Euryarchaeota;Methanomicrobia;ST-12K10A	ST-12K10A	order	a
Archaea;Euryarchaeota;Methanopyri	Methanopyri	class	''
Archaea;Euryarchaeota;Methanopyri;Methanopyrales	Methanopyrales	order	''
Archaea;Euryarchaeota;Methanopyri;Methanopyrales;Methanopyraceae	Methanopyraceae	family	''
Archaea;Euryarchaeota;Methanopyri;Methanopyrales;Methanopyraceae;Methanopyrus	Methanopyrus	genus	''
Archaea;Euryarchaeota;pCIRA-13	pCIRA-13	class	a
Archaea;Euryarchaeota;Thermococci	Thermococci	class	''
Archaea;Euryarchaeota;Thermococci;Thermococcales	Thermococcales	order	''
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae	Thermococcaceae	family	''
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Palaeococcus	Palaeococcus	genus	''
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Pyrococcus	Pyrococcus	genus	''
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus	Thermococcus	genus	''
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;uncultured	uncultured	genus	a
Archaea;Euryarchaeota;Thermoplasmata	Thermoplasmata	class	''
Archaea;Euryarchaeota;Thermoplasmata;014H09-A-SD-P15	014H09-A-SD-P15	order	a
Archaea;Euryarchaeota;Thermoplasmata;059A02-A-SD-P93	059A02-A-SD-P93	order	a
Archaea;Euryarchaeota;Thermoplasmata;19c-33	19c-33	order	a
Archaea;Euryarchaeota;Thermoplasmata;20a-9	20a-9	order	a
Archaea;Euryarchaeota;Thermoplasmata;Fe-A-9	Fe-A-9	order	a
Archaea;Euryarchaeota;Thermoplasmata;Kazan-3A-21	Kazan-3A-21	order	a
Archaea;Euryarchaeota;Thermoplasmata;Marine Benthic Group E	Marine Benthic Group E	order	a
Archaea;Euryarchaeota;Thermoplasmata;MSBL1	MSBL1	order	a
Archaea;Euryarchaeota;Thermoplasmata;South African Goldmine Gp(SAGMEG)	South African Goldmine Gp(SAGMEG)	order	a
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales	Thermoplasmatales	order	''
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;20c-4	20c-4	family	a
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;2B5	2B5	family	a
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;4559-3-R1-4	4559-3-R1-4	family	a
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;A10	A10	family	a
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;AMOS1A-4113-D04	AMOS1A-4113-D04	family	a
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;AMOS4A-452-E11	AMOS4A-452-E11	family	a
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Amsterdam-1A-44	Amsterdam-1A-44	family	a
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;ANT06-05	ANT06-05	family	a
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;ASC21	ASC21	family	a
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;BSLdp215	BSLdp215	family	a
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;CCA47	CCA47	family	a
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Deep Sea Hydrothermal Vent Gp 2(DHVEG-2)	Deep Sea Hydrothermal Vent Gp 2(DHVEG-2)	family	a
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Deep Sea Hydrothermal Vent Gp 2(DHVEG-2);Candidatus Aciduliprofundum	Candidatus Aciduliprofundum	genus	''
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;F2apm1A36	F2apm1A36	family	a
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Family Incertae Sedis	Family Incertae Sedis	family	''
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Family Incertae Sedis;Candidatus Methanomethylophilus	Candidatus Methanomethylophilus	genus	''
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Family Incertae Sedis;Methanomassiliicoccus	Methanomassiliicoccus	genus	''
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Family Incertae Sedis;Thermogymnomonas	Thermogymnomonas	genus	''
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Ferroplasmaceae	Ferroplasmaceae	family	''
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Ferroplasmaceae;Acidiplasma	Acidiplasma	genus	''
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Ferroplasmaceae;Ferroplasma	Ferroplasma	genus	''
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Ferroplasmaceae;uncultured	uncultured	genus	a
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;HO28S9A17	HO28S9A17	family	a
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;KTK 4A	KTK 4A	family	a
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Benthic Group D and DHVEG-1	Marine Benthic Group D and DHVEG-1	family	a
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group II	Marine Group II	family	a
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group III	Marine Group III	family	a
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;MKCST-A3	MKCST-A3	family	a
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Picrophilaceae	Picrophilaceae	family	''
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Picrophilaceae;Picrophilus	Picrophilus	genus	''
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;pMC2A24	pMC2A24	family	a
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Terrestrial Miscellaneous Gp(TMEG)	Terrestrial Miscellaneous Gp(TMEG)	family	a
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Thermoplasmataceae	Thermoplasmataceae	family	''
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Thermoplasmataceae;Thermoplasma	Thermoplasma	genus	''
